...1,i,df_name,k,df_name_specific,Time,CalendarURL,Location,lon,lat,osm_id,class,type,display_name,lon_specific,lat_specific,osm_id_specific,place_id_specific,type_specific,display_name_specific
7670,1101,Carrer de la Mare de Déu de Lorda,30,Carrer de la Mare de Déu de Lorda 30,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000030000300,Delante de casa,2.1916503,41.4508499,6150391882,place,house,"30, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7671,1101,Carrer de la Mare de Déu de Lorda,35,Carrer de la Mare de Déu de Lorda 35,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000035000350,Delante de casa,2.2164113,41.4391385,35326943,highway,residential,"Carrer de la Mare de Déu de Lorda, Sant Antoni de Llefià, Districte 4, Badalona, Barcelonès, Barcelona, Catalunya, 08913, España",NA,NA,NA,NA,NA,NA
7672,1101,Carrer de la Mare de Déu de Lorda,40,Carrer de la Mare de Déu de Lorda 40,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000040000400,Delante de casa,2.1919160,41.4511221,6150392137,place,house,"40, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7673,1101,Carrer de la Mare de Déu de Lorda,45,Carrer de la Mare de Déu de Lorda 45 - 47,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000045000470,Delante de casa,2.1923141,41.4516459,6137493704,place,house,"45-47, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7674,1101,Carrer de la Mare de Déu de Lorda,50,Carrer de la Mare de Déu de Lorda 50,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000050000500,Delante de casa,2.1923080,41.4515201,6137458528,place,house,"50, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7675,1101,Carrer de la Mare de Déu de Lorda,55,Carrer de la Mare de Déu de Lorda 55,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000055000550,Delante de casa,2.2170576,41.4395613,7080512505,place,house,"55, Carrer de la Mare de Déu de Lorda, Sant Antoni de Llefià, Districte 4, Badalona, Barcelonès, Barcelona, Catalunya, 08913, España",NA,NA,NA,NA,NA,NA
7676,1101,Carrer de la Mare de Déu de Lorda,60,Carrer de la Mare de Déu de Lorda 60,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000060000600,Delante de casa,2.1925421,41.4517569,6137458373,place,house,"60, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7677,1101,Carrer de la Mare de Déu de Lorda,65,Carrer de la Mare de Déu de Lorda 65,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000065000650,Delante de casa,2.2174043,41.4397525,7080519718,place,house,"65, Carrer de la Mare de Déu de Lorda, Sant Antoni de Llefià, Districte 4, Badalona, Barcelonès, Barcelona, Catalunya, 08913, España",NA,NA,NA,NA,NA,NA
7678,1101,Carrer de la Mare de Déu de Lorda,70,Carrer de la Mare de Déu de Lorda 70,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000070000700,Delante de casa,2.1928098,41.4520292,6137458700,place,house,"70, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7679,1101,Carrer de la Mare de Déu de Lorda,75,Carrer de la Mare de Déu de Lorda 73 - 75,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000073000750,Delante de casa,2.1928973,41.4523322,6137493710,place,house,"73-75, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7680,1101,Carrer de la Mare de Déu de Lorda,80,Carrer de la Mare de Déu de Lorda 78 - 80,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000078000800,Delante de casa,2.2164113,41.4391385,35326943,highway,residential,"Carrer de la Mare de Déu de Lorda, Sant Antoni de Llefià, Districte 4, Badalona, Barcelonès, Barcelona, Catalunya, 08913, España",NA,NA,NA,NA,NA,NA
7681,1101,Carrer de la Mare de Déu de Lorda,85,Carrer de la Mare de Déu de Lorda 85,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000085000850,Delante de casa,2.2179663,41.4400635,7080524504,place,house,"85, Carrer de la Mare de Déu de Lorda, Sant Antoni de Llefià, Districte 4, Badalona, Barcelonès, Barcelona, Catalunya, 08913, España",NA,NA,NA,NA,NA,NA
7682,1101,Carrer de la Mare de Déu de Lorda,90,Carrer de la Mare de Déu de Lorda 90,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/36560000090000900,Delante de casa,2.1930483,41.4525824,6137458396,place,house,"90, Carrer de la Mare de Déu de Lorda, la Trinitat Vella, Sant Andreu, Barcelona, Barcelonès, Barcelona, Catalunya, 08033, España",NA,NA,NA,NA,NA,NA
7689,1102,Carrer de Desfar,30,Carrer de Desfar 30,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/09930300030000300,Delante de casa,2.1764429,41.4300302,12146407196,place,house,"30-28, Carrer de Desfar, Vilapicina, Vilapicina i la Torre Llobeta, Nou Barris, Barcelona, Barcelonès, Barcelona, Catalunya, 08016, España",NA,NA,NA,NA,NA,NA
7690,1102,Carrer de Desfar,35,Carrer de Desfar 35 - 37,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/09930300035000370,Delante de casa,2.1763105,41.4304978,12079131145,place,house,"35-37, Carrer de Desfar, Porta, Nou Barris, Barcelona, Barcelonès, Barcelona, Catalunya, 08016, España",NA,NA,NA,NA,NA,NA
